Date,Division,CPI Division,Weight_Price_Division,Daily Change (%)
2024-06-27,HEALTH,100.0,0.347793,
2024-06-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",100.0,4.644186739130435,
2024-06-27,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,
2024-06-27,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0,0.2659570280275336,
2024-06-27,EDUCATION,100.0,354.7019230853999,
2024-06-27,TRANSPORT,100.0,717.7520410271334,
2024-06-27,CLOTHING AND FOOTWEAR,100.0,2.4942881666666668,
2024-06-27,COMMUNICATION,100.0,0.3188654333333333,
2024-06-27,MISCELLANEOUS GOODS AND SERVICES,100.0,0.6150945606060606,
2024-06-27,ALCOHOLIC BEVERAGES AND TOBACCO,100.0,0.4736601428571428,
2024-06-27,RECREATION AND CULTURE,100.0,1.6347998588751291,
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,100.0,0.8220343133775538,
